Fuel_Main,Engine,SFC,Source,CO2_g_gfuel,CH4_g_gfuel,N2O_g_gfuel,BC_g_gfuel,CO2_g_MJ,CH4_g_MJ,N2O_g_MJ,BC_g_MJ,SOx_g_MJ,Assumptions,MJpkg
Residual,SSD,167,WTW,3.734,0.00453,0.00019,0.00020,,,,,0.247683601,0.5% fuel sulfur,40.2
Residual,MSD,177,WTW,3.734,0.00453,0.00018,0.00050,,,,,0.247683601,0.5% fuel sulfur,40.2
Residual,HSD,187,WTW,3.734,0.00453,0.00017,0.00050,,,,,0.247683601,0.5% fuel sulfur,40.2
Residual,ST,324,WTW,3.734,0.00448,0.00013,0.00003,,,,,0.247683601,0.5% fuel sulfur,40.2
Residual,GT,301,WTW,3.734,0.00448,0.00014,0.00002,,,,,0.247683601,0.5% fuel sulfur,40.2
Distillate,SSD,165,WTW,3.782,0.00466,0.00019,0.00005,,,,,0.045687626,0.1% fuel sulfur,42.7
Distillate,MSD,175,WTW,3.782,0.00466,0.00018,0.00027,,,,,0.045687626,0.1% fuel sulfur,42.7
Distillate,HSD,185,WTW,3.782,0.00466,0.00017,0.00027,,,,,0.045687626,0.1% fuel sulfur,42.7
Distillate,ST,320,WTW,3.782,0.00461,0.00013,0.00003,,,,,0.045687626,0.1% fuel sulfur,42.7
Distillate,GT,300,WTW,3.782,0.00461,0.00014,0.00002,,,,,0.045687626,0.1% fuel sulfur,42.7
LNG,LNG-Otto-medium,156,WTW,3.280,0.05336,0.00014,0.00003,,,,,,,48
LNG,LNG-Otto-slow,148,WTW,3.280,0.03499,0.00014,0.00003,,,,,,,48
LNG,LNG-Diesel,135,WTW,3.280,0.01958,0.00023,0.00002,,,,,,,48
LNG,LBSI,156,WTW,3.280,0.04438,0.00014,0.00003,,,,,,,48
LNG,ST,285,WTW,3.280,0.01824,0.00008,0.00002,,,,,,,48
LNG,GT,203,WTW,3.280,0.01840,0.00011,0.00002,,,,,,,48
BioLNG,LNG-Otto-medium,156,WTW,11.535,0.12215,0.00018,0.00002,,,,,,,48
BioLNG,LNG-Otto-slow,148,WTW,11.535,0.10378,0.00018,0.00002,,,,,,,48
BioLNG,LNG-Diesel,135,WTW,11.535,0.08837,0.00027,0.00001,,,,,,,48
BioLNG,LBSI,156,WTW,11.535,0.11317,0.00018,0.00002,,,,,,,48
BioLNG,ST,285,WTW,11.535,0.08703,0.00012,0.00001,,,,,,,48
BioLNG,GT,203,WTW,11.535,0.08719,0.00015,0.00001,,,,,,,48
E-LNG,LNG-Otto-medium,156,WTW,5.211,0.12215,0.00018,0.00002,,,,,,,48
E-LNG,LNG-Otto-slow,148,WTW,5.211,0.10378,0.00018,0.00002,,,,,,,48
E-LNG,LNG-Diesel,135,WTW,5.211,0.08837,0.00027,0.00001,,,,,,,48
E-LNG,LBSI,156,WTW,5.211,0.11317,0.00018,0.00002,,,,,,,48
E-LNG,ST,285,WTW,5.211,0.08703,0.00012,0.00001,,,,,,,48
E-LNG,GT,203,WTW,5.211,0.08719,0.00015,0.00001,,,,,,,48
Methanol,SSD, 324 ,WTW,,,,,86.65474805,0.197508767,0.003993763,0.002739059,,,
Methanol,MSD, 352 ,WTW,,,,,86.65474805,0.197132893,0.003953711,0.002476304,,,
Biomethanol (miscanthus),SSD, 324 ,WTW,,,,,4.206567765,0.013142977,0.003955595,0.002799412,,,
Biomethanol (miscanthus),MSD, 352 ,WTW,,,,,4.206567765,0.012767103,0.003915543,0.002536657,,,
E-methanol (DAC+renewable),SSD, 324 ,WTW,,,,,1.789931526,0.002926874,0.003992959,0.002758729,,,
E-methanol (DAC+renewable),MSD,351.5,WTW,,,,,1.789931526,0.002551,0.003952907,0.002495975,,,
Ammonia,Fuel cell,,WTW,,,,,117.1848538,1.120621427,0.168946036,0.000649752,,,
Ammonia,2-stroke,,WTW,,,,,117.1848538,1.120621427,0.002279369,0.000649752,,,
Ammonia,4-stroke,,WTW,,,,,117.1848538,1.120621427,0.002279369,0.000649752,,,
"E-ammonia (Green hydrogen+RE for N2 and HB, no electricity displacement during HB)",Fuel cell,,WTW,,,,,3.599832794,0.004321124,3.45649E-05,0.000275069,,,
"E-ammonia (Green hydrogen+RE for N2 and HB, no electricity displacement during HB)",2-stroke,,WTW,,,,,3.599832794,0.004321124,3.45649E-05,0.000275069,,,
"E-ammonia (Green hydrogen+RE for N2 and HB, no electricity displacement during HB)",4-stroke,,WTW,,,,,3.873035704,0.004763493,0.001215507,0.000511465,,,
"Hydrogen (NG SMR, L.H2)",Fuel cell,,WTW,,,,,111.8265582,0.332576065,0.002481251,0.000635421,,,
"E-hydrogen (Green hydrogen, renewable electricity for compression and liquefaction)",Fuel cell,,WTW,,,,,0.710675205,0.000863235,2.6001E-06,0.000302462,,,
