Scenario,Region,Sector,Sub-Sector,Species,Units,Year,ems,Source,GWP20,GWP100
BAU,AFRI_EAST,off-road,TRA_OT_CNS,co2,Mt,2050,5.89,TTW,5.89,5.89
BAU,AFRI_EAST,off-road,TRA_OT_AGR,co2,Mt,2050,0.21,TTW,0.21,0.21
BAU,AFRI_EAST,off-road,TRA_OT_RAI,co2,Mt,2050,0.71,TTW,0.71,0.71
BAU,AFRI_EAST,off-road,TRA_OT_OTHER,co2,Mt,2050,0.40847625000000015,TTW,0.40847625000000015,0.40847625000000015
BAU,AFRI_NORT,off-road,TRA_OT_CNS,co2,Mt,2050,4.56,TTW,4.56,4.56
BAU,AFRI_NORT,off-road,TRA_OT_AGR,co2,Mt,2050,10.25,TTW,10.25,10.25
BAU,AFRI_NORT,off-road,TRA_OT_RAI,co2,Mt,2050,0.39,TTW,0.39,0.39
BAU,AFRI_NORT,off-road,TRA_OT_OTHER,co2,Mt,2050,0.6350400000000002,TTW,0.6350400000000002,0.6350400000000002
BAU,AFRI_WEST,off-road,TRA_OT_CNS,co2,Mt,2050,10.73,TTW,10.73,10.73
BAU,AFRI_WEST,off-road,TRA_OT_AGR,co2,Mt,2050,0.66,TTW,0.66,0.66
BAU,AFRI_WEST,off-road,TRA_OT_RAI,co2,Mt,2050,3.15,TTW,3.15,3.15
BAU,AFRI_WEST,off-road,TRA_OT_OTHER,co2,Mt,2050,0.4316287500000001,TTW,0.4316287500000001,0.4316287500000001
BAU,ASIA_STAN,off-road,TRA_OT_CNS,co2,Mt,2050,2.28,TTW,2.28,2.28
BAU,ASIA_STAN,off-road,TRA_OT_AGR,co2,Mt,2050,0.84,TTW,0.84,0.84
BAU,ASIA_STAN,off-road,TRA_OT_RAI,co2,Mt,2050,0.53,TTW,0.53,0.53
BAU,ASIA_STAN,off-road,TRA_OT_OTHER,co2,Mt,2050,0.3042900000000001,TTW,0.3042900000000001,0.3042900000000001
BAU,BRAZ_WHOL,off-road,TRA_OT_CNS,co2,Mt,2050,0.53,TTW,0.53,0.53
BAU,BRAZ_WHOL,off-road,TRA_OT_AGR,co2,Mt,2050,15.52,TTW,15.52,15.52
BAU,BRAZ_WHOL,off-road,TRA_OT_RAI,co2,Mt,2050,3.07,TTW,3.07,3.07
BAU,BRAZ_WHOL,off-road,TRA_OT_OTHER,co2,Mt,2050,3.213236250000001,TTW,3.213236250000001,3.213236250000001
BAU,CANA_WHOL,off-road,TRA_OT_CNS,co2,Mt,2050,9.05,TTW,9.05,9.05
BAU,CANA_WHOL,off-road,TRA_OT_AGR,co2,Mt,2050,10.89,TTW,10.89,10.89
BAU,CANA_WHOL,off-road,TRA_OT_RAI,co2,Mt,2050,5.02,TTW,5.02,5.02
BAU,CANA_WHOL,off-road,TRA_OT_OTHER,co2,Mt,2050,3.704400000000001,TTW,3.704400000000001,3.704400000000001
BAU,CEAM_REST,off-road,TRA_OT_CNS,co2,Mt,2050,1.42,TTW,1.42,1.42
BAU,CEAM_REST,off-road,TRA_OT_AGR,co2,Mt,2050,0.48,TTW,0.48,0.48
BAU,CEAM_REST,off-road,TRA_OT_RAI,co2,Mt,2050,0.0,TTW,0.0,0.0
BAU,CEAM_REST,off-road,TRA_OT_OTHER,co2,Mt,2050,0.38367000000000007,TTW,0.38367000000000007,0.38367000000000007
BAU,CENT_EURO,off-road,TRA_OT_CNS,co2,Mt,2050,2.32,TTW,2.32,2.32
BAU,CENT_EURO,off-road,TRA_OT_AGR,co2,Mt,2050,4.05,TTW,4.05,4.05
BAU,CENT_EURO,off-road,TRA_OT_RAI,co2,Mt,2050,0.61,TTW,0.61,0.61
BAU,CENT_EURO,off-road,TRA_OT_OTHER,co2,Mt,2050,0.07938000000000002,TTW,0.07938000000000002,0.07938000000000002
BAU,CHIN_PLUS,off-road,TRA_OT_CNS,co2,Mt,2050,62.26,TTW,62.26,62.26
BAU,CHIN_PLUS,off-road,TRA_OT_AGR,co2,Mt,2050,45.0,TTW,45.0,45.0
BAU,CHIN_PLUS,off-road,TRA_OT_RAI,co2,Mt,2050,3.91,TTW,3.91,3.91
BAU,CHIN_PLUS,off-road,TRA_OT_OTHER,co2,Mt,2050,29.281297500000008,TTW,29.281297500000008,29.281297500000008
BAU,INDI_WHOL,off-road,TRA_OT_CNS,co2,Mt,2050,71.99,TTW,71.99,71.99
BAU,INDI_WHOL,off-road,TRA_OT_AGR,co2,Mt,2050,25.23,TTW,25.23,25.23
BAU,INDI_WHOL,off-road,TRA_OT_RAI,co2,Mt,2050,10.19,TTW,10.19,10.19
BAU,INDI_WHOL,off-road,TRA_OT_OTHER,co2,Mt,2050,5.662440000000002,TTW,5.662440000000002,5.662440000000002
BAU,INDO_PLUS,off-road,TRA_OT_CNS,co2,Mt,2050,6.1,TTW,6.1,6.1
BAU,INDO_PLUS,off-road,TRA_OT_AGR,co2,Mt,2050,5.04,TTW,5.04,5.04
BAU,INDO_PLUS,off-road,TRA_OT_RAI,co2,Mt,2050,0.0,TTW,0.0,0.0
BAU,INDO_PLUS,off-road,TRA_OT_OTHER,co2,Mt,2050,2.879178750000001,TTW,2.879178750000001,2.879178750000001
BAU,JAPA_WHOL,off-road,TRA_OT_CNS,co2,Mt,2050,5.39,TTW,5.39,5.39
BAU,JAPA_WHOL,off-road,TRA_OT_AGR,co2,Mt,2050,6.35,TTW,6.35,6.35
BAU,JAPA_WHOL,off-road,TRA_OT_RAI,co2,Mt,2050,0.0,TTW,0.0,0.0
BAU,JAPA_WHOL,off-road,TRA_OT_OTHER,co2,Mt,2050,1.2419662500000004,TTW,1.2419662500000004,1.2419662500000004
BAU,KORE_AALL,off-road,TRA_OT_CNS,co2,Mt,2050,3.19,TTW,3.19,3.19
BAU,KORE_AALL,off-road,TRA_OT_AGR,co2,Mt,2050,0.5,TTW,0.5,0.5
BAU,KORE_AALL,off-road,TRA_OT_RAI,co2,Mt,2050,0.09,TTW,0.09,0.09
BAU,KORE_AALL,off-road,TRA_OT_OTHER,co2,Mt,2050,0.6532312500000003,TTW,0.6532312500000003,0.6532312500000003
BAU,LAME_REST,off-road,TRA_OT_CNS,co2,Mt,2050,15.48,TTW,15.48,15.48
BAU,LAME_REST,off-road,TRA_OT_AGR,co2,Mt,2050,6.57,TTW,6.57,6.57
BAU,LAME_REST,off-road,TRA_OT_RAI,co2,Mt,2050,0.05,TTW,0.05,0.05
BAU,LAME_REST,off-road,TRA_OT_OTHER,co2,Mt,2050,1.1460487500000003,TTW,1.1460487500000003,1.1460487500000003
BAU,MEXI_WHOL,off-road,TRA_OT_CNS,co2,Mt,2050,3.81,TTW,3.81,3.81
BAU,MEXI_WHOL,off-road,TRA_OT_AGR,co2,Mt,2050,6.71,TTW,6.71,6.71
BAU,MEXI_WHOL,off-road,TRA_OT_RAI,co2,Mt,2050,-0.44000000000000006,TTW,-0.44000000000000006,-0.44000000000000006
BAU,MEXI_WHOL,off-road,TRA_OT_OTHER,co2,Mt,2050,0.013230000000000004,TTW,0.013230000000000004,0.013230000000000004
BAU,MIDD_EAST,off-road,TRA_OT_CNS,co2,Mt,2050,5.25,TTW,5.25,5.25
BAU,MIDD_EAST,off-road,TRA_OT_AGR,co2,Mt,2050,11.37,TTW,11.37,11.37
BAU,MIDD_EAST,off-road,TRA_OT_RAI,co2,Mt,2050,0.0,TTW,0.0,0.0
BAU,MIDD_EAST,off-road,TRA_OT_OTHER,co2,Mt,2050,1.2981937500000003,TTW,1.2981937500000003,1.2981937500000003
BAU,OCEA_WHOL,off-road,TRA_OT_CNS,co2,Mt,2050,8.05,TTW,8.05,8.05
BAU,OCEA_WHOL,off-road,TRA_OT_AGR,co2,Mt,2050,6.98,TTW,6.98,6.98
BAU,OCEA_WHOL,off-road,TRA_OT_RAI,co2,Mt,2050,4.33,TTW,4.33,4.33
BAU,OCEA_WHOL,off-road,TRA_OT_OTHER,co2,Mt,2050,2.3962837500000007,TTW,2.3962837500000007,2.3962837500000007
BAU,RUSS_PLUS,off-road,TRA_OT_CNS,co2,Mt,2050,16.54,TTW,16.54,16.54
BAU,RUSS_PLUS,off-road,TRA_OT_AGR,co2,Mt,2050,1.21,TTW,1.21,1.21
BAU,RUSS_PLUS,off-road,TRA_OT_RAI,co2,Mt,2050,6.44,TTW,6.44,6.44
BAU,RUSS_PLUS,off-road,TRA_OT_OTHER,co2,Mt,2050,3.408378750000001,TTW,3.408378750000001,3.408378750000001
BAU,SAFR_WHOL,off-road,TRA_OT_CNS,co2,Mt,2050,1.83,TTW,1.83,1.83
BAU,SAFR_WHOL,off-road,TRA_OT_AGR,co2,Mt,2050,1.36,TTW,1.36,1.36
