Scenario,CY,RTK,CO2,H2O,OC,SO2,Sulphates,NOx,CO,HC,CH4,N2O,nvPM,ConEF,Stock,MJ,EnRoute,Payload,TechEff,Fuel (kg),FuelEff
Baseline,2023,1.07626E+12,1030.309796,331.8375985,0.005391416,0.323484956,0.006583155,4.123887357,1.055771844,0.121177824,1.16419186,0.00202453,0.02356836,6.7765E+11,64496.85276,1.16419E+13,1,1,1,0,10.8170342
Baseline,2024,1.10501E+12,1046.701695,337.1173573,0.005477192,0.328631498,0.006687868,3.969957956,1.072918007,0.123163263,1.18271378,0.002056739,0.026586697,6.93505E+11,65572.24613,1.18271E+13,1,1,0.989396659,2.74094E+11,10.7031634
Baseline,2025,1.13475E+12,1066.68462,343.5537277,0.005581758,0.33490551,0.006815524,4.045875733,1.094035996,0.125574796,1.205293356,0.002096005,0.027095113,7.09834E+11,66772.28472,1.20529E+13,1,1,0.981698075,2.79326E+11,10.62169825
Baseline,2026,1.16547E+12,1088.233857,350.4946128,0.005694522,0.341671294,0.006953184,4.127661137,1.116916945,0.128175272,1.229642777,0.002138349,0.027643233,7.26637E+11,68058.74896,1.22964E+13,1,1,0.974919072,2.84969E+11,10.5506043
Baseline,2027,1.19723E+12,1110.852013,357.7798048,0.005812878,0.348772686,0.007097672,4.213444793,1.140978213,0.130904101,1.255200014,0.002182793,0.028218434,7.43931E+11,69417.98673,1.2552E+13,1,1,0.968566048,2.90892E+11,10.48423106
Baseline,2028,1.23005E+12,1134.405114,365.3661491,0.005936127,0.356167621,0.007248132,4.302742076,1.166055189,0.133744577,1.281813688,0.002229074,0.028817398,7.61732E+11,70842.79087,1.28181E+13,1,1,0.962486929,2.9706E+11,10.42081188
Baseline,2029,1.26399E+12,1158.840581,373.2367112,0.006063993,0.363839591,0.007404227,4.395356457,1.192091173,0.136690295,1.309424386,0.002277089,0.029438809,7.80057E+11,72329.76372,1.30942E+13,1,1,0.956602757,3.03459E+11,10.35946752
Baseline,2030,1.29908E+12,1184.099118,381.3723952,0.006196166,0.371769979,0.00756558,4.491064155,1.219038502,0.139734871,1.337965105,0.002326721,0.030081168,7.98924E+11,73875.90559,1.33797E+13,1,1,0.950829947,3.10073E+11,10.29933389
Baseline,2031,1.33537E+12,1210.111247,389.750829,0.006332283,0.379936972,0.007731745,4.589595321,1.246845079,0.142870976,1.367357342,0.002377834,0.030742685,8.18352E+11,75479.34302,1.36736E+13,1,1,0.945082496,3.16885E+11,10.23953741
Baseline,2032,1.37291E+12,1236.82229,398.3544076,0.006472057,0.388323401,0.007902372,4.690719328,1.275471293,0.146092608,1.39753931,0.002430321,0.031421891,8.38362E+11,77141.90469,1.39754E+13,1,1,0.939295586,3.23879E+11,10.1794088
Baseline,2033,1.41174E+12,1264.191154,407.1698998,0.006615273,0.396916366,0.0080772,4.794278568,1.30488973,0.149395512,1.428464581,0.0024841,0.03211774,8.58972E+11,78868.06768,1.42846E+13,1,1,0.933420849,3.31046E+11,10.11845267
Baseline,2034,1.45192E+12,1292.211513,416.1952721,0.006761898,0.40571388,0.008256187,4.900235896,1.335105952,0.152779408,1.460126004,0.002539159,0.032830021,8.80205E+11,80664.47929,1.46013E+13,1,1,0.927440813,3.38384E+11,10.0564941
Baseline,2035,1.49351E+12,1320.910642,425.439312,0.006912075,0.414724506,0.008439507,5.008689366,1.366156637,0.156247987,1.492554397,0.002595552,0.033559401,9.02082E+11,82535.56174,1.49255E+13,1,1,0.921364006,3.45899E+11,9.993629777
