Scenario,CY,RTK,MJ,Fuel (kg),CO2,CH4,N2O,nvPM_mass,nvPM_num,SO2,H2O,OC,Sulphates,NOx,CO,HC,ConERF,Stock,CO2e,EnRoute,Payload,TechEff,AvoidancePenalty,Formation,ConERFLowerBound,ConERFUpperBound,FuelEff,NOxERF,H2OERF,nvPM_massERF,SO2ERF
Current Commitments,1940,,,8953488372.093023,33.29504174418605,0.038634302325581404,7.72686046511613e-05,0.0007991461167132466,8143954060388877.0,0.010744186046511629,11.021423338259904,0.00017906976744185734,0.00021866507026266997,0.1375511575075342,0.0339167610135496,0.004085080603439601,0.00037852697809261527,,,,,,,,6.398432532486963e-05,0.0010578585596153222,,0.0005128265980987415,5.73114013589515e-05,8.045003956952254e-05,-0.00021391674418604653
Current Commitments,1941,,,9651162790.697676,35.88946058139537,0.04164476744186048,8.328953488371934e-05,0.0008614172426909024,8778547883276322.0,0.011581395348837212,11.880235546436003,0.00019302325581395014,0.0002357039069065144,0.1482694295211083,0.03655962550811191,0.004403398572538791,0.00041188099397699836,,,,,,,,6.962232294921616e-05,0.0011510720773905522,,0.000552787112236306,6.177722484146721e-05,8.671887382169315e-05,-0.0002305855813953489
Current Commitments,1942,,,10465116279.069769,38.91628255813955,0.04515697674418606,9.031395348837037e-05,0.0009340668896648338,9518907343311674.0,0.012558139534883724,12.88218312264145,0.00020930232558139173,0.00025558254965766625,0.1607740802036114,0.0396429674184346,0.004774769536487845,0.00045088164301005116,,,,,,,,7.621479947014026e-05,0.0012600660799265446,,0.0005994077120634642,6.698735223773553e-05,9.403251378255883e-05,-0.00025003255813953494
Current Commitments,1943,,,11279069767.441858,41.94310453488372,0.048669186046511624,9.733837209302137e-05,0.0010067165366387648,1.0259266803347024e+16,0.013534883720930231,13.88413069884689,0.00022558139534883324,0.00027546119240881795,0.17327873088611448,0.04272630932875728,0.005146140500436898,0.0004906341192486628,,,,,,,,8.293436113767916e-05,0.001371161192530727,,0.0006460283118906225,7.219747963400383e-05,0.00010134615374342446,-0.0002694795348837209
Current Commitments,1944,,,12209302325.581396,45.40232965116281,0.05268313953488374,0.00010536627906976543,0.0010897447046089726,1.1105391900530286e+16,0.014651162790697676,15.02921364308169,0.0002441860465116237,0.0002981796412672772,0.18756976023754662,0.04625012865484037,0.005570564459235819,0.0005362676853613621,,,,,,,,9.06480331052674e-05,0.0014986920194253938,,0.0006993089974073748,7.815191094402478e-05,0.00010970459941298529,-0.0002917046511627908
Current Commitments,1945,,,13139534883.72093,48.86155476744187,0.056697093023255825,0.00011339418604650945,0.00117277287257918,1.1951516997713544e+16,0.015767441860465116,16.174296587316483,0.00026279069767441406,0.0003208980901257365,0.20186078958897874,0.04977394798092344,0.005994988418034738,0.0005827982348280811,,,,,,,,9.851332669576821e-05,0.0016287296201401556,,0.0007525896829241272,8.410634225404571e-05,0.00011806304508254607,-0.00031392976744186045
Current Commitments,1946,,,14302325581.39535,53.18558616279072,0.061714534883720945,0.0001234290697674395,0.0012765580825419393,1.3009173369192622e+16,0.017162790697674422,17.60565026760998,0.000286046511627902,0.00034929615119881044,0.21972457627826888,0.05417872213852729,0.006525518366533387,0.0006406698734194495,,,,,,,,0.00010829566181325991,0.0017904618394692217,,0.0008191905398200676,9.15493813915719e-05,0.00012851110216949705,-0.0003417111627906977
Current Commitments,1947,,,15348837209.302324,57.07721441860466,0.06623023255813953,0.0001324604651162765,0.0013699647715084225,1.3961064103523786e+16,0.01841860465116279,18.893868579874123,0.00030697674418604117,0.00037485440616457705,0.23580198429863,0.05814301888037074,0.00700299532018217,0.0006944409413776033,,,,,,,,0.00011738485678329024,0.0019407343108946871,,0.0008791313110264139,9.824811661534544e-05,0.0001379143535477529,-0.00036671441860465113
Current Commitments,1948,,,16627906976.744184,61.833648953488385,0.07174941860465117,0.00014349883720929954,0.0014841285024674578,1.5124486112150768e+16,0.019953488372093025,20.468357628196966,0.0003325581395348779,0.0004060922733449585,0.25545214965684915,0.06298827045373497,0.007586578263530685,0.0007599294387432127,,,,,,,,0.000128454707977497,0.0021237531483990642,,0.0009523922536119484,0.00010643545966662422,0.00014940721634339898,-0.00039727395348837215
Current Commitments,1949,,,17906976744.186047,66.5900834883721,0.07726860465116281,0.0001545372093023226,0.0015982922334264933,1.6287908120777754e+16,0.021488372093023258,22.042846676519808,0.0003581395348837147,0.00043733014052533994,0.2751023150150684,0.0678335220270992,0.008170161206879202,0.0008267578683348103,,,,,,,,0.00013975105467776503,0.0023105166563142762,,0.001025653196197483,0.000114622802717903,0.00016090007913904507,-0.00042783348837209306
