Scenario,CY,RTK,CO2,H2O,OC,SO2,Sulphates,NOx,CO,HC,CH4,N2O,nvPM_mass,nvPM_num,ConEF,Stock,MJ,Fuel (kg),EnRoute,Payload,TechEff,AvoidancePenalty,FuelEff,ConERF
Baseline,2023,1076879935911.4612,1033.305238706694,332.8044410466621,0.0054070905200803,0.3244254312048217,0.0066021488204499,4.130005796386175,1.0874210156949042,0.1216700210396399,1.167576540911422e-09,2.030415604645131e-12,0.0236435183244092,2.4597726223552493e+17,678562873505.9171,31609.24973915726,11675765409115.186,270585525124.33804,1.0,1.0,1.0,1.0,10.842216499495764,27.707540152446864
Baseline,2024,1198283164085.4792,1146.5542028308653,361.2072609772122,0.0058685536368249,0.351056878554866,0.0071656076884281,4.508713362801882,1.181178274878766,0.1321381107047699,1.263420609180017e-09,2.1970884393640493e-12,0.0256050087935033,2.6636314025432646e+17,753574370780.0531,32587.6111656414,12672222760080.41,293678395366.8693,1.0,1.0,0.9746969539118644,1.0,10.575315701570217,30.770460559335525
Baseline,2025,1291191780400.776,1224.509702919585,384.608378959208,0.0062487604599028,0.3749256275941703,0.0076298797161479,4.8287511566999015,1.260200036909247,0.1408480059464733,1.349321986688248e-09,2.346470934850863e-12,0.02734904779125,2.84401125649648e+17,814095410431.3851,33593.349241344586,13493219866882.48,312704979533.77704,1.0,1.0,0.962141260633114,1.0,10.45020582666216,33.24169675819085
Baseline,2026,1331753027991.2834,1250.8824902655333,392.89227433379466,0.0063833426770889,0.3830005606253352,0.0077941782438193,4.962618087766336,1.2886495608032884,0.1439156276773271,1.3783829093835078e-09,2.39700787941792e-12,0.0279371612513508,2.905618212503551e+17,837554451504.7727,34663.225487576005,13783829093835.078,319439839949.828,1.0,1.0,0.9526296855667868,1.0,10.350139105465804,34.19959225742512
Baseline,2027,1373732071214.7769,1279.4971721167174,401.8802717516911,0.0065293654420356,0.3917619265221371,0.0079724500353615,5.107046955842003,1.3192400239511246,0.1472383463753787,1.4099142392470715e-09,2.4518408620506574e-12,0.0285765448326442,2.972470898498111e+17,861760345219.2333,35776.06164772972,14099142392470.717,326747216511.4882,1.0,1.0,0.944409900268112,1.0,10.263385916296611,35.187983750985694
Baseline,2028,1417184163156.711,1309.4573374255322,411.2907710278328,0.0066822543051516,0.4009352583090966,0.0081591127234946,5.258527921770774,1.3511739439358967,0.1507245199439805,1.4429281955102282e-09,2.509252131992287e-12,0.029248707784262,3.042568191187767e+17,886739781060.4219,36933.928871037606,14429281955102.283,334398191311.7563,1.0,1.0,0.9366574379774234,1.0,10.181656223819026,36.20796104207923
Baseline,2029,1462166944413.6943,1340.400647162667,421.0099892985815,0.0068401602244946,0.4104096134696762,0.0083519068481803,5.415685442862438,1.384117513832631,0.1543318350964573,1.4770255065153355e-09,2.568547355830168e-12,0.0299450800711926,3.115053833162226e+17,912520523071.794,38139.01395245726,14770255065153.354,342300233259.6374,1.0,1.0,0.9290605754030222,1.0,10.1016201478115,37.26065781098628
Baseline,2030,1508740556417.7275,1372.296722832995,431.0284698325497,0.0070029281764345,0.4201756905860732,0.0085506371812809,5.578513594015835,1.4179884430102716,0.158046008076445,1.512172697336634e-09,2.6296683206684064e-12,0.0306627306558397,3.1897607066269306e+17,939131458167.7084,39393.62662809752,15121726973366.34,350445584550.78424,1.0,1.0,0.9216070763115642,1.0,10.022748383771532,38.34725358781487
Baseline,2031,1556967760608.63,1405.123347805236,441.33926700120014,0.0071704447879154,0.4302266872749284,0.0087551630224217,5.747004474356073,1.452768738489069,0.1618615249922178,1.548345286837726e-09,2.692572453810805e-12,0.0314003824509413,3.266606689680199e+17,966602646834.767,40700.20738152045,15483452868377.258,358828571688.92834,1.0,1.0,0.9142620344948998,1.0,9.944620087910272,39.468975822771974
Baseline,2032,1606914063779.371,1438.875612885476,451.94083917664665,0.0073426850069702,0.4405611004182148,0.0089654537609381,5.921203765985872,1.4884866610598442,0.1657793383658073,1.5855378654385412e-09,2.757250347997623e-12,0.0321580316724718,3.345588866439313e+17,994965376349.0964,42061.33580010116,15855378654385.412,367447941005.4557,1.0,1.0,0.9069895695136452,1.0,9.866973605977693,40.627102059167704
Baseline,2033,1658647849938.1997,1473.596914958426,462.8468159606121,0.0075198702910006,0.4511922174600389,0.0091817798714478,6.101366162752439,1.5252062753232472,0.1698055084980758,1.6237982533977147e-09,2.8237851626586257e-12,0.0329367443658926,3.426815013327773e+17,1024252216644.5568,43479.73952388235,16237982533977.146,376314774831.45184,1.0,1.0,0.8997899701621682,1.0,9.789891527958853,41.822962214663946
Baseline,2034,1712240519051.8457,1509.3730374203194,474.0841394965464,0.0077024383988037,0.4621463039282228,0.009404675987296,6.28793265287946,1.5630271831773173,0.1739507989185584,1.6632209778736303e-09,2.892341280522243e-12,0.0337385262692376,3.510490911228591e+17,1054497078974.584,44958.30383290697,16632209778736.305,385450979808.4891,1.0,1.0,0.8926893931589694,1.0,9.713711125085627,43.057940976594615
Baseline,2035,1767766633055.7336,1546.335952724912,485.6942558610335,0.0078910627952355,0.4734637677141302,0.0096349648009886,6.481559783292171,1.602082846482232,0.1782307802024527,1.7039514630577542e-09,2.9631715942574346e-12,0.034566473547553,3.596929623089911e+17,1085735277518.5616,46500.081922877,17039514630577.54,394890257950.8121,1.0,1.0,0.8857393827614313,1.0,9.639006819086354,44.33348031751882
Baseline,2036,1825304069540.13,1584.6541133726,497.730064849599,0.0080866031054352,0.485196186326114,0.0098736966162327,6.683086070670494,1.6425323192674566,0.18266466349273,1.7461753315400551e-09,3.036598901548156e-12,0.0354245834184971,3.68652935384931e+17,1118003594092.2896,48108.30592319887,17461753315400.55,404675627239.8737,1.0,1.0,0.8790070007690547,1.0,9.566490102550365,45.65108213752265
Baseline,2037,1884934183545.612,1624.5167632745545,510.2509940403109,0.008290025054596,0.4974015032757655,0.0101220514711996,6.8934636531002464,1.6845497578798916,0.1872738977316001,1.7901011165559831e-09,3.1129858416908545e-12,0.0363173723980148,3.779737726331859e+17,1151340346131.3318,49786.39871607201,17901011165559.83,414855415192.5801,1.0,1.0,0.8725617192939721,1.0,9.496889239860645,47.01231104016152
Baseline,2038,1946741977927.2124,1666.0952749622938,523.3108572671247,0.0085022031689846,0.5101321901390782,0.0103810980824683,7.1135917050081625,1.7282918224576946,0.192077787960484,1.8359176583606543e-09,3.192660807889178e-12,0.0372489796013092,3.876961111219367e+17,1185785458125.7837,51537.9866202906,18359176583606.543,425473385483.3498,1.0,1.0,0.8664530674633001,1.0,9.430719012467394,48.41879724933294
Baseline,2039,2010816282774.2256,1709.535315515691,536.9553947629752,0.0087238807981119,0.523432847886719,0.0106517449779769,7.344278874020451,1.7738895873034024,0.1970926900176728,1.883785471642635e-09,3.275902935186542e-12,0.0382229688455269,3.978546230888302e+17,1221380536695.3584,53366.91300890293,18837854716426.348,436566737344.759,1.0,1.0,0.8607087598044294,1.0,9.368262470222628,49.8722396747936
Baseline,2040,2077249944401.993,1754.9030750653578,551.205387647648,0.0089553957149414,0.5373237428964885,0.0109344051917306,7.585999392440726,1.8214015821548888,0.2023260243903132,1.9337774931849677e-09,3.3628390606486584e-12,0.0392410521444868,4.0846537777306e+17,1258168949504.6846,55277.25293585147,19337774931849.67,448152373855.14886,1.0,1.0,0.8553098830579475,1.0,9.309315416742836,51.37440913448229
Baseline,2041,2146140024463.2288,1802.194530365545,566.0595676160029,0.0091967273885627,0.551803643313765,0.0112290539794657,7.838920681559991,1.870824313904634,0.2077775082051131,1.985889289659003e-09,3.453461474717006e-12,0.0403032936284493,4.1952804671906445e+17,1296195908230.3645,57273.328853249215,19858892896590.027,460229267591.8894,1.0,1.0,0.8502018501348391,1.0,9.25330717950565,52.92715174228727
Baseline,2042,2217588009759.615,1851.3127712329203,581.4874961844594,0.0094473812793896,0.5668428767633767,0.0115350874827295,8.102791876255859,1.922071138860902,0.2134366251651887,2.040014072983934e-09,3.547584472919062e-12,0.0414075836633281,4.310205988984238e+17,1335508555803.7217,59359.72750808981,20400140729839.344,472772670448.1887,1.0,1.0,0.8452894163694251,1.0,9.199247398551142,54.532392470401305
Baseline,2043,2291700033369.707,1902.12363927414,597.4470382144902,0.0097066727675601,0.5824003660536105,0.0118516695617757,8.377177772117562,1.9750285961252392,0.2192891261815344,2.096004010219437e-09,3.644950973771602e-12,0.0425509359504713,4.4291241246644576e+17,1376156058166.3027,61541.31811499968,20960040102194.37,485748322182.9519,1.0,1.0,0.840468280200298,1.0,9.146066150452864,56.19213889594468
Baseline,2044,2368587107746.7275,1954.4895119914656,613.8949708022011,0.0099738995556404,0.598433973338427,0.0121779424724622,8.661609943861347,2.029583500430236,0.2253206882133882,2.1537074512302653e-09,3.745297257689432e-12,0.0437302843093703,4.551721659271427e+17,1418189700789.139,63823.271910187126,21537074512302.656,499121077921.26666,1.0,1.0,0.8356431118359856,1.0,9.092793945328529,57.90848514210528
Baseline,2045,2448365370479.773,2008.3008260740053,630.7968838851689,0.0102485025342307,0.6149101520538421,0.0125132233287162,8.955729597792546,2.0856530252316183,0.2315203864512659,2.213003665095323e-09,3.848413373600766e-12,0.0449431995075178,4.677751489242318e+17,1461662990221.5798,66211.08320109978,22130036650953.227,512862958307.1431,1.0,1.0,0.8307407538671694,1.0,9.038698601841729,59.6836160246495
Baseline,2046,2531156343454.4453,2063.539213517034,648.1470093771703,0.0105303879700911,0.6318232782054669,0.012857397599481,9.259579972421346,2.1432430743275104,0.2378877826635225,2.273872411589018e-09,3.9542641237533024e-12,0.0461893223706696,4.807179684675542e+17,1506631760951.2356,68710.59203654954,22738724115890.184,526969272674.1642,1.0,1.0,0.825733856094434,1.0,8.983532042456558,61.51981141530001
Baseline,2047,2617087206194.14,2120.2819979975125,665.9696334117309,0.0108199504514671,0.6491970270880278,0.0132109471276417,9.57364821081686,2.2024463403428327,0.2444327597535996,2.3363988958650275e-09,4.062997679909283e-12,0.0474704556742011,4.940193203851411e+17,1553154287873.2483,71328.00863329314,23363988958650.277,541459767292.0111,1.0,1.0,0.8206375776455961,1.0,8.92747819153761,63.41945083415735
Baseline,2048,2706291084211.3257,2178.7062318494723,684.32036720314,0.0111180934890631,0.6670856093437889,0.0135749750827411,9.89889631335562,2.263444792842542,0.2511758328610185,2.400778216914019e-09,4.174953319213479e-12,0.0487905757836337,5.077206959742803e+17,1601291404684.8533,74069.93970736694,24007782169140.188,556379656295.2535,1.0,1.0,0.8155047740930979,1.0,8.871101231202775,65.38501828406727
Baseline,2049,2798907353249.383,2239.0296912250856,703.2676181446224,0.0114259284101357,0.6855557046081451,0.0139508380217506,10.236507104075296,2.326448306792949,0.2581407906061987,2.467250348457394e-09,4.290548355967409e-12,0.050154409406433,5.218721626656024e+17,1651106628540.0164,76943.41687197718,24672503484573.945,571784553524.3093,1.0,1.0,0.8103990374750422,1.0,8.815048292302523,67.41910734060333
Baseline,2050,2895081960350.055,2301.4678906619574,722.8790928415114,0.0117445550007608,0.7046733000456527,0.0143398777402131,10.587686186693665,2.39165387881891,0.2653497894516209,2.5360527720792916e-09,4.4101957706458876e-12,0.0515663617967849,5.3652209815691296e+17,1702666291318.9531,79955.92727856374,25360527720792.92,587729495267.5068,1.0,1.0,0.8053768311567807,1.0,8.759865201787408,69.52442651215325
Continuation,2023,1076879935911.4612,1033.305238706694,332.8044410466621,0.0054070905200803,0.3244254312048217,0.0066021488204499,4.130005796386175,1.0874210156949042,0.1216700210396399,1.167576540911422e-09,2.030415604645131e-12,0.0236435183244092,2.4597726223552493e+17,678562873505.9171,31609.24973915726,11675765409115.186,270585525124.33804,1.0,1.0,1.0,1.0,10.842216499495764,27.707540152446864
Continuation,2024,1198283164085.4792,1099.557866713743,355.0391011695253,0.0057683650885265,0.3450635995956608,0.0070433871275403,4.432887453438197,1.160354919553833,0.1300008166031359,1.2434955395652096e-09,3.0190353287262424e-12,0.0252051956578877,2.619577192334477e+17,742345819438.7389,32587.6111656414,12455881276196.104,288664687744.98505,0.9950099899999998,0.99003992,0.9723467385426944,1.0,10.394772829594364,30.31196872417832
Continuation,2025,1291167587890.2134,1164.785850455158,376.5370674768239,0.0061176640740934,0.3654692013261102,0.007469975132184,4.730205573357644,1.2313221018788088,0.1380076403835824,1.317676166890184e-09,3.535196422562254e-12,0.0267321132857,2.776312741484072e+17,797552694902.9993,33593.315443485815,13210137747023.686,306144559606.5744,0.99401498,0.98805984,0.9592996880653984,1.0,10.231156567838914,32.566213361398056
Continuation,2026,1331640697909.844,1182.609131392247,383.2358159335352,0.0062265006339459,0.3709153936081735,0.0076028735419612,4.844921953559488,1.2529265610997258,0.1404697486788199,1.3388581698572443e-09,4.396243532726663e-12,0.0271506482181485,2.819643325591969e+17,816690178301.9158,34658.46746731823,13445153257870.53,311591037262.35297,0.993020965,0.986083721,0.9496403432168826,1.0,10.09668244517772,33.3476480823291
