Scenario,CY,RTK,MJ,Fuel (kg),CO2,H2O,OC,SO2,Sulphates,NOx,CO,HC,CH4,N2O,nvPM_mass,nvPM_num,ConEF,Stock,EnRoute,Payload,TechEff,AvoidancePenalty,CO2e,FuelEff
Baseline,2023,1.07688E+12,1.16658E+13,2.70355E+11,1005.358454,332.804441,0.005407091,0.324425431,0.006602149,4.130005796,1.087421016,0.121670021,1.16657978,0.00233316,0.023641291,2.46E+17,6.78563E+11,31609.24974,1,1,1,1,0,10.83296049
Baseline,2024,1.19828E+12,1.26722E+13,2.93678E+11,1088.815881,361.207261,0.005868554,0.351056879,0.007165608,4.508713363,1.181178275,0.132138111,1.263420609,0.002526841,0.02841943,2.66E+17,7.53574E+11,32587.61117,1,1,0.974696954,1,1123.870749,10.5753157
Baseline,2025,1.29119E+12,1.34932E+13,3.12705E+11,1162.845688,384.608379,0.00624876,0.374925628,0.00762988,4.828751157,1.260200037,0.140848006,1.349321987,0.002698644,0.030362208,2.84E+17,8.14095E+11,33593.34924,1,1,0.962141261,1,1200.283976,10.45020583
Baseline,2026,1.33175E+12,1.37838E+13,3.1944E+11,1187.890391,392.8922743,0.006383343,0.383000561,0.007794178,4.962618088,1.288649561,0.143915628,1.378382909,0.002756766,0.031015217,2.91E+17,8.37554E+11,34663.22549,1,1,0.952629686,1,1226.135004,10.35013911
Baseline,2027,1.37373E+12,1.40991E+13,3.26747E+11,1215.064091,401.8802718,0.006529365,0.391761927,0.00797245,5.107046956,1.319240024,0.147238346,1.409914239,0.002819828,0.031725013,2.97E+17,8.6176E+11,35776.06165,1,1,0.9444099,1,1254.183572,10.26338592
Baseline,2028,1.41718E+12,1.44293E+13,3.34398E+11,1243.515519,411.290771,0.006682254,0.400935258,0.008159113,5.258527922,1.351173944,0.15072452,1.442928196,0.002885856,0.032470899,3.04E+17,8.8674E+11,36933.92887,1,1,0.936657438,1,1283.551005,10.18165622
Baseline,2029,1.46217E+12,1.47703E+13,3.423E+11,1272.900582,421.0099893,0.00684016,0.410409613,0.008351907,5.415685443,1.384117514,0.154331835,1.477025507,0.002954051,0.033243414,3.12E+17,9.12521E+11,38139.01395,1,1,0.929060575,1,1313.882131,10.10162015
Baseline,2030,1.50874E+12,1.51217E+13,3.50446E+11,1303.190431,431.0284698,0.007002928,0.420175691,0.008550637,5.578513594,1.417988443,0.158046008,1.512172697,0.003024345,0.034039551,3.19E+17,9.39131E+11,39393.62663,1,1,0.921607076,1,1345.147174,10.02274838
Baseline,2031,1.55697E+12,1.54835E+13,3.58829E+11,1334.363968,441.339267,0.007170445,0.430226687,0.008755163,5.747004474,1.452768738,0.161861525,1.548345287,0.003096691,0.03485798,3.27E+17,9.66603E+11,40700.20738,1,1,0.914262034,1,1377.324357,9.944620088
Baseline,2032,1.60691E+12,1.58554E+13,3.67448E+11,1366.416532,451.9408392,0.007342685,0.4405611,0.008965454,5.921203766,1.488486661,0.165779338,1.585537865,0.003171076,0.035698684,3.35E+17,9.94965E+11,42061.3358,1,1,0.90698957,1,1410.408866,9.866973606
