Scenario,Sector,Year,Source,Species,ems,Units
Current Commitments,Aviation,1940,WTW,co2,0.03329504174418605,Gt
Current Commitments,Aviation,1941,WTW,co2,0.03588946058139537,Gt
Current Commitments,Aviation,1942,WTW,co2,0.03891628255813955,Gt
Current Commitments,Aviation,1943,WTW,co2,0.04194310453488372,Gt
Current Commitments,Aviation,1944,WTW,co2,0.04540232965116281,Gt
Current Commitments,Aviation,1945,WTW,co2,0.048861554767441875,Gt
Current Commitments,Aviation,1946,WTW,co2,0.05318558616279072,Gt
Current Commitments,Aviation,1947,WTW,co2,0.057077214418604666,Gt
Current Commitments,Aviation,1948,WTW,co2,0.061833648953488383,Gt
Current Commitments,Aviation,1949,WTW,co2,0.0665900834883721,Gt
Current Commitments,Aviation,1950,WTW,co2,0.0722113243023256,Gt
Current Commitments,Aviation,1951,WTW,co2,0.0778325651162791,Gt
Current Commitments,Aviation,1952,WTW,co2,0.08388620906976745,Gt
Current Commitments,Aviation,1953,WTW,co2,0.09080465930232562,Gt
Current Commitments,Aviation,1954,WTW,co2,0.09815551267441865,Gt
Current Commitments,Aviation,1955,WTW,co2,0.10593876918604651,Gt
Current Commitments,Aviation,1956,WTW,co2,0.1145868319767442,Gt
Current Commitments,Aviation,1957,WTW,co2,0.12366729790697675,Gt
Current Commitments,Aviation,1958,WTW,co2,0.1336125701162791,Gt
Current Commitments,Aviation,1959,WTW,co2,0.1439902454651163,Gt
Current Commitments,Aviation,1960,WTW,co2,0.1556651302325582,Gt
Current Commitments,Aviation,1961,WTW,co2,0.17079924011627912,Gt
Current Commitments,Aviation,1962,WTW,co2,0.1880953656976745,Gt
Current Commitments,Aviation,1963,WTW,co2,0.19847304104651167,Gt
Current Commitments,Aviation,1964,WTW,co2,0.20755350697674424,Gt
Current Commitments,Aviation,1965,WTW,co2,0.22182281058139544,Gt
Current Commitments,Aviation,1966,WTW,co2,0.24041614558139543,Gt
Current Commitments,Aviation,1967,WTW,co2,0.2836564595348838,Gt
Current Commitments,Aviation,1968,WTW,co2,0.3212755326744188,Gt
Current Commitments,Aviation,1969,WTW,co2,0.33640964255813965,Gt
Current Commitments,Aviation,1970,WTW,co2,0.33727444883720936,Gt
Current Commitments,Aviation,1971,WTW,co2,0.3891628255813955,Gt
Current Commitments,Aviation,1972,WTW,co2,0.4151070139534885,Gt
Current Commitments,Aviation,1973,WTW,co2,0.42980872069767456,Gt
Current Commitments,Aviation,1974,WTW,co2,0.4151070139534885,Gt
Current Commitments,Aviation,1975,WTW,co2,0.4155394170930234,Gt
Current Commitments,Aviation,1976,WTW,co2,0.4168366265116281,Gt
Current Commitments,Aviation,1977,WTW,co2,0.4414836054651164,Gt
Current Commitments,Aviation,1978,WTW,co2,0.45705011848837224,Gt
Current Commitments,Aviation,1979,WTW,co2,0.4760758566279071,Gt
Current Commitments,Aviation,1980,WTW,co2,0.4795350817441862,Gt
Current Commitments,Aviation,1981,WTW,co2,0.47261663151162797,Gt
Current Commitments,Aviation,1982,WTW,co2,0.47780546918604666,Gt
Current Commitments,Aviation,1983,WTW,co2,0.4842915162790699,Gt
Current Commitments,Aviation,1984,WTW,co2,0.5167217517441862,Gt
Current Commitments,Aviation,1985,WTW,co2,0.5335854741860466,Gt
Current Commitments,Aviation,1986,WTW,co2,0.5616916782558142,Gt
Current Commitments,Aviation,1987,WTW,co2,0.5863386572093024,Gt
Current Commitments,Aviation,1988,WTW,co2,0.6114180393023259,Gt
Current Commitments,Aviation,1989,WTW,co2,0.6334705994186048,Gt
Current Commitments,Aviation,1990,WTW,co2,0.6467840326430002,Gt
Current Commitments,Aviation,1991,WTW,co2,0.6254909454010003,Gt
Current Commitments,Aviation,1992,WTW,co2,0.6269412255310002,Gt
Current Commitments,Aviation,1993,WTW,co2,0.6303623991710002,Gt
Current Commitments,Aviation,1994,WTW,co2,0.6604315405330002,Gt
Current Commitments,Aviation,1995,WTW,co2,0.6765110566410001,Gt
Current Commitments,Aviation,1996,WTW,co2,0.7071305607190002,Gt
Current Commitments,Aviation,1997,WTW,co2,0.7286616426490002,Gt
