Scenario,Sector,Source,Species,Units,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BAU,Marine,WTT,co2,t,145150963.9,149256600.7,151299525.8,152449493.3,154305135,156924836.1,159286314.1,161545509,163313219.5,165394564.2,167403803.1,169073036.1,170619515.7,172350766.6,174409650.6,176135192.5,178262973.4,180480497.5,183105331.2,185689161.1,188768658.1,191895543.6,195722384.3,199538179,204517438.6,210684813.4,217912157.8,226210117.9,236497123.5,249183571.2,264525154.6
BAU,Marine,WTT,ch4,t,1353392.48,1408077.02,1428213.19,1455170.42,1482934.67,1519553.26,1554606.51,1589618.73,1620751.55,1655984.91,1691549.79,1724736.06,1757717.99,1793686.04,1834221.98,1872420.09,1916065.37,1961878,2013328.55,2065493.53,2124255.6,2184500.53,2253474.61,2322783.66,2405728.95,2502355.48,2610664.92,2730023.29,2870538.41,3036017.02,3228016.17
BAU,Marine,WTT,n2o,t,2469.42,2537.69,2572.03,2589.58,2620.76,2664.01,2702.75,2739.63,2768.05,2801.64,2833.85,2860.15,2884.21,2911.21,2943.55,2970.06,3003.13,3037.49,3078.47,3118.52,3166.66,3215.39,3275.68,3335.68,3415.12,3514.49,3631.83,3767.55,3937.28,4148.29,4405.43
BAU,Marine,WTT,bc,t,2038.37,2094.06,2122.4,2136.18,2157.72,2191.72,2221.74,2249.91,2270.74,2295.37,2318.33,2335.79,2350.63,2366.92,2386.38,2399.68,2416.54,2432.28,2450.67,2465.09,2481.95,2494.42,2509.95,2518.11,2532.26,2550.47,2568.66,2584.29,2604.62,2629.92,2658.08
BAU,Marine,TTW,co2,t,848879701.7,874962275.9,881865100.5,900346153.8,885685014.4,900024232,912753621,924743357.1,933737725.5,944305593.3,954192482.4,961817584,968355089.7,975465065.8,983838522.6,989610178.7,996757962.8,1003314291,1010783238,1016365689,1022621696,1026636859,1031335588,1032260722,1034675429,1037488034,1038667265,1036728558,1034028125,1029901924,1022566520
BAU,Marine,TTW,ch4,t,59362.7,83358.28,102669.56,124733.26,132441.08,141461.07,150800.7,160608.44,170491.45,181283.12,192614.23,204172.72,216193.56,229076.12,243061.62,257249.67,272686.14,288928.79,306482.82,324582.93,344092.61,364122.95,385766.13,407448.4,431288.09,457104.62,484230.66,512112.24,542091.31,574199.74,607843.99
BAU,Marine,TTW,n2o,t,40283.34,40601.53,44566.14,45106.52,49176.24,49998.29,50742.96,51462.07,52034.34,52719.71,53399.72,53994.42,54579.99,55263.72,56103.35,56901.01,57912.22,59059.98,60478.61,62058.58,64026.06,66289.66,69148.18,72443.6,76712.97,82127.04,88828.37,97041.37,107431.17,120545.05,136936.1
BAU,Marine,TTW,bc,t,76519.15,76785.64,83359.65,84893.4,85434.76,86570.01,87528.07,88391.71,88944.76,89621.75,90205.48,90545.21,90750.77,90975.13,91277.86,91295.97,91393.34,91382.4,91393.21,91164.38,90917.87,90383.6,89808.29,88789.58,87766.57,86618.04,85144.91,83197.51,80930.47,78239.32,74928.31
Striving,Marine,WTT,co2,t,145150963.9,149256600.7,151299525.8,152449493.3,154409962.7,154026244.2,153307818.4,145936844.8,123119165,108251357.4,101359182.7,94101082.98,86641913.78,79144376.78,71641114.11,63840510.75,56007554.03,47969506.63,39722882.3,31028209.15,21779306.27,11587524.14,12532529.58,13757901.8,0,0,0,0,0,0,0
Striving,Marine,WTT,ch4,t,1353392.48,1408077.02,1428213.19,1455170.42,1473444.4,1469903.32,1488457.42,1505241.03,1516536.98,1529732.19,1541132.25,1548198.26,1552893.56,1557998.46,1564800.84,1567478.89,1572850.81,1578502.23,1587761.17,1597468.11,1613137.8,1631773.33,1659368.21,1689118.86,1727508.79,1765801.02,1783544.33,1742571.26,1578003.38,1160563.62,257614.94
