timebounds,scenario,Vizcon Scenario,Pollutant Group,Actual Pollutant,Attributable Warming,Global Temperature Anomaly
1940.0,ssp119,,,,,0.23588031318778266
1940.0,ssp119_BAU,Historical Trends,non-CO2,All,5.964895129045855e-05,0.23588031318778266
1940.0,ssp119_BC_Aviation_BAU,Historical Trends,non-CO2,BC,0.0,0.23588031318778266
1940.0,ssp119_BC_Aviation_Current Commitments,Current Commitments,non-CO2,BC,0.0,0.23588031318778266
1940.0,ssp119_BC_Aviation_Current Commitments lower,Current Commitments lower,non-CO2,BC,0.0,0.23588031318778266
1940.0,ssp119_BC_Aviation_Current Commitments upper,Current Commitments upper,non-CO2,BC,0.0,0.23588031318778266
1940.0,ssp119_BC_Aviation_Full Breakthrough,Full Breakthrough,non-CO2,BC,0.0,0.23588031318778266
1940.0,ssp119_BC_Aviation_Full Breakthrough lower,Full Breakthrough lower,non-CO2,BC,0.0,0.23588031318778266
1940.0,ssp119_BC_Aviation_Full Breakthrough upper,Full Breakthrough upper,non-CO2,BC,0.0,0.23588031318778266
1940.0,ssp119_BC_Aviation_GHG Forward,GHG Forward,non-CO2,BC,0.0,0.23588031318778266
1940.0,ssp119_BC_Aviation_GHG Forward lower,GHG Forward lower,non-CO2,BC,0.0,0.23588031318778266
1940.0,ssp119_BC_Aviation_GHG Forward upper,GHG Forward upper,non-CO2,BC,0.0,0.23588031318778266
1940.0,ssp119_BC_Aviation_Historical Trends lower,Historical Trends lower,non-CO2,BC,0.0,0.23588031318778266
1940.0,ssp119_BC_Aviation_Historical Trends upper,Historical Trends upper,non-CO2,BC,0.0,0.23588031318778266
1940.0,ssp119_BC_Aviation_SLCP Forward,SLCP Forward,non-CO2,BC,0.0,0.23588031318778266
1940.0,ssp119_BC_Aviation_SLCP Forward lower,SLCP Forward lower,non-CO2,BC,0.0,0.23588031318778266
1940.0,ssp119_BC_Aviation_SLCP Forward upper,SLCP Forward upper,non-CO2,BC,0.0,0.23588031318778266
1940.0,ssp119_BC_Aviation_zero,zero,non-CO2,BC,0.0,0.23588031318778266
1940.0,ssp119_CH4_Aviation_BAU,Historical Trends,non-CO2,CH4,0.0,0.23588031318778266
1940.0,ssp119_CH4_Aviation_Current Commitments,Current Commitments,non-CO2,CH4,0.0,0.23588031318778266
1940.0,ssp119_CH4_Aviation_Current Commitments lower,Current Commitments lower,non-CO2,CH4,0.0,0.23588031318778266
1940.0,ssp119_CH4_Aviation_Current Commitments upper,Current Commitments upper,non-CO2,CH4,0.0,0.23588031318778266
1940.0,ssp119_CH4_Aviation_Full Breakthrough,Full Breakthrough,non-CO2,CH4,0.0,0.23588031318778266
1940.0,ssp119_CH4_Aviation_Full Breakthrough lower,Full Breakthrough lower,non-CO2,CH4,0.0,0.23588031318778266
1940.0,ssp119_CH4_Aviation_Full Breakthrough upper,Full Breakthrough upper,non-CO2,CH4,0.0,0.23588031318778266
1940.0,ssp119_CH4_Aviation_GHG Forward,GHG Forward,non-CO2,CH4,0.0,0.23588031318778266
1940.0,ssp119_CH4_Aviation_GHG Forward lower,GHG Forward lower,non-CO2,CH4,0.0,0.23588031318778266
1940.0,ssp119_CH4_Aviation_GHG Forward upper,GHG Forward upper,non-CO2,CH4,0.0,0.23588031318778266
1940.0,ssp119_CH4_Aviation_Historical Trends lower,Historical Trends lower,non-CO2,CH4,0.0,0.23588031318778266
1940.0,ssp119_CH4_Aviation_Historical Trends upper,Historical Trends upper,non-CO2,CH4,0.0,0.23588031318778266
1940.0,ssp119_CH4_Aviation_SLCP Forward,SLCP Forward,non-CO2,CH4,0.0,0.23588031318778266
1940.0,ssp119_CH4_Aviation_SLCP Forward lower,SLCP Forward lower,non-CO2,CH4,0.0,0.23588031318778266
1940.0,ssp119_CH4_Aviation_SLCP Forward upper,SLCP Forward upper,non-CO2,CH4,0.0,0.23588031318778266
1940.0,ssp119_CH4_Aviation_zero,zero,non-CO2,CH4,0.0,0.23588031318778266
1940.0,ssp119_CO2 FFI_Aviation_BAU,Historical Trends,CO2,CO2 FFI,0.0,0.23588031318778266
1940.0,ssp119_CO2 FFI_Aviation_Current Commitments,Current Commitments,CO2,CO2 FFI,0.0,0.23588031318778266
1940.0,ssp119_CO2 FFI_Aviation_Current Commitments lower,Current Commitments lower,CO2,CO2 FFI,0.0,0.23588031318778266
1940.0,ssp119_CO2 FFI_Aviation_Current Commitments upper,Current Commitments upper,CO2,CO2 FFI,0.0,0.23588031318778266
1940.0,ssp119_CO2 FFI_Aviation_Full Breakthrough,Full Breakthrough,CO2,CO2 FFI,0.0,0.23588031318778266
1940.0,ssp119_CO2 FFI_Aviation_Full Breakthrough lower,Full Breakthrough lower,CO2,CO2 FFI,0.0,0.23588031318778266
1940.0,ssp119_CO2 FFI_Aviation_Full Breakthrough upper,Full Breakthrough upper,CO2,CO2 FFI,0.0,0.23588031318778266
1940.0,ssp119_CO2 FFI_Aviation_GHG Forward,GHG Forward,CO2,CO2 FFI,0.0,0.23588031318778266
1940.0,ssp119_CO2 FFI_Aviation_GHG Forward lower,GHG Forward lower,CO2,CO2 FFI,0.0,0.23588031318778266
1940.0,ssp119_CO2 FFI_Aviation_GHG Forward upper,GHG Forward upper,CO2,CO2 FFI,0.0,0.23588031318778266
1940.0,ssp119_CO2 FFI_Aviation_Historical Trends lower,Historical Trends lower,CO2,CO2 FFI,0.0,0.23588031318778266
1940.0,ssp119_CO2 FFI_Aviation_Historical Trends upper,Historical Trends upper,CO2,CO2 FFI,0.0,0.23588031318778266
1940.0,ssp119_CO2 FFI_Aviation_SLCP Forward,SLCP Forward,CO2,CO2 FFI,0.0,0.23588031318778266
1940.0,ssp119_CO2 FFI_Aviation_SLCP Forward lower,SLCP Forward lower,CO2,CO2 FFI,0.0,0.23588031318778266
1940.0,ssp119_CO2 FFI_Aviation_SLCP Forward upper,SLCP Forward upper,CO2,CO2 FFI,0.0,0.23588031318778266
1940.0,ssp119_CO2 FFI_Aviation_zero,zero,CO2,CO2 FFI,0.0,0.23588031318778266
1940.0,ssp119_Current Commitments,Current Commitments,non-CO2,All,5.964895129045855e-05,0.23588031318778266
1940.0,ssp119_Current Commitments lower,Current Commitments lower,non-CO2,All,6.557622039798927e-06,0.235827221858532
1940.0,ssp119_Current Commitments upper,Current Commitments upper,non-CO2,All,0.00012467427970175304,0.23594533851619395
1940.0,ssp119_Full Breakthrough,Full Breakthrough,non-CO2,All,5.964895129045855e-05,0.23588031318778266
1940.0,ssp119_Full Breakthrough lower,Full Breakthrough lower,non-CO2,All,6.557622039798927e-06,0.235827221858532
1940.0,ssp119_Full Breakthrough upper,Full Breakthrough upper,non-CO2,All,0.00012467427970175304,0.23594533851619395
1940.0,ssp119_GHG Forward,GHG Forward,non-CO2,All,5.964895129045855e-05,0.23588031318778266
1940.0,ssp119_GHG Forward lower,GHG Forward lower,non-CO2,All,6.557622039798927e-06,0.235827221858532
1940.0,ssp119_GHG Forward upper,GHG Forward upper,non-CO2,All,0.00012467427970175304,0.23594533851619395
1940.0,ssp119_Historical Trends lower,Historical Trends lower,non-CO2,All,6.557622039798927e-06,0.235827221858532
1940.0,ssp119_Historical Trends upper,Historical Trends upper,non-CO2,All,0.00012467427970175304,0.23594533851619395
1940.0,ssp119_N2O_Aviation_BAU,Historical Trends,non-CO2,N2O,0.0,0.23588031318778266
1940.0,ssp119_N2O_Aviation_Current Commitments,Current Commitments,non-CO2,N2O,0.0,0.23588031318778266
1940.0,ssp119_N2O_Aviation_Current Commitments lower,Current Commitments lower,non-CO2,N2O,0.0,0.23588031318778266
1940.0,ssp119_N2O_Aviation_Current Commitments upper,Current Commitments upper,non-CO2,N2O,0.0,0.23588031318778266
1940.0,ssp119_N2O_Aviation_Full Breakthrough,Full Breakthrough,non-CO2,N2O,0.0,0.23588031318778266
