Scenario,Sector,Sub-Sector,Species,Units,Year,ems
BAU,off-road,TRA_OT_CNS,co2,Mt,1990,122.0
BAU,off-road,TRA_OT_AGR,co2,Mt,1990,218.22
BAU,off-road,TRA_OT_RAI,co2,Mt,1990,92.03
BAU,off-road,TRA_OT_OTHER,co2,Mt,1990,51.471391478676935
BAU,off-road,TRA_OT_CNS,bc,kt,1990,98.19
BAU,off-road,TRA_OT_AGR,bc,kt,1990,148.32
BAU,off-road,TRA_OT_RAI,bc,kt,1990,54.66
BAU,off-road,TRA_OT_OTHER,bc,kt,1990,9.081314930260401
BAU,off-road,TRA_OT_CNS,ch4,kt,1990,6.91
BAU,off-road,TRA_OT_AGR,ch4,kt,1990,12.32
BAU,off-road,TRA_OT_RAI,ch4,kt,1990,5.21
BAU,off-road,TRA_OT_OTHER,ch4,kt,1990,12.18
BAU,off-road,TRA_OT_CNS,co2,Mt,1991,117.798
BAU,off-road,TRA_OT_AGR,co2,Mt,1991,220.126
BAU,off-road,TRA_OT_RAI,co2,Mt,1991,88.426
BAU,off-road,TRA_OT_OTHER,co2,Mt,1991,50.59324892389036
BAU,off-road,TRA_OT_CNS,bc,kt,1991,94.994
BAU,off-road,TRA_OT_AGR,bc,kt,1991,149.894
BAU,off-road,TRA_OT_RAI,bc,kt,1991,52.534
BAU,off-road,TRA_OT_OTHER,bc,kt,1991,8.07311237701287
BAU,off-road,TRA_OT_CNS,ch4,kt,1991,6.668
BAU,off-road,TRA_OT_AGR,ch4,kt,1991,12.424
BAU,off-road,TRA_OT_RAI,ch4,kt,1991,5.008
BAU,off-road,TRA_OT_OTHER,ch4,kt,1991,11.538
BAU,off-road,TRA_OT_CNS,co2,Mt,1992,113.596
BAU,off-road,TRA_OT_AGR,co2,Mt,1992,222.032
BAU,off-road,TRA_OT_RAI,co2,Mt,1992,84.822
BAU,off-road,TRA_OT_OTHER,co2,Mt,1992,49.71510636910378
BAU,off-road,TRA_OT_CNS,bc,kt,1992,91.798
BAU,off-road,TRA_OT_AGR,bc,kt,1992,151.468
BAU,off-road,TRA_OT_RAI,bc,kt,1992,50.408
BAU,off-road,TRA_OT_OTHER,bc,kt,1992,7.0649098237653405
BAU,off-road,TRA_OT_CNS,ch4,kt,1992,6.426
BAU,off-road,TRA_OT_AGR,ch4,kt,1992,12.528
BAU,off-road,TRA_OT_RAI,ch4,kt,1992,4.806
BAU,off-road,TRA_OT_OTHER,ch4,kt,1992,10.896
BAU,off-road,TRA_OT_CNS,co2,Mt,1993,109.394
BAU,off-road,TRA_OT_AGR,co2,Mt,1993,223.938
