Scenario,Sector,Source,Species,Units,Year,ems
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2020,0.045590000000000006
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2021,0.045537999999999995
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2022,0.045486
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2023,0.045433999999999995
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2024,0.045382000000000006
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2025,0.04533
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2026,0.045194000000000005
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2027,0.045058
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2028,0.044922
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2029,0.044786
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2030,0.04465
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2031,0.04475
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2032,0.04485
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2033,0.044950000000000004
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2034,0.04505
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2035,0.04515
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2036,0.045246
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2037,0.045342
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2038,0.045438000000000006
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2039,0.045534
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2040,0.04563
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2041,0.045528000000000006
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2042,0.045426
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2043,0.045323999999999996
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2044,0.045222
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2045,0.04512000000000001
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2046,0.044906
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2047,0.044692
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2048,0.044478
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2049,0.044264
BAU_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2050,0.04405
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2020,0.6482380461055365
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2021,0.6497518942163478
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2022,0.6512657423271592
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2023,0.6527795904379705
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2024,0.6542934385487817
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2025,0.6558072866595931
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2026,0.6541809288767021
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2027,0.6525545710938111
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2028,0.65092821331092
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2029,0.6493018555280289
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2030,0.647675497745138
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2031,0.6502641069722213
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2032,0.6528527161993047
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2033,0.6554413254263882
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2034,0.6580299346534715
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2035,0.660618543880555
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2036,0.663148611151031
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2037,0.6656786784215072
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2038,0.6682087456919832
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2039,0.6707388129624592
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2040,0.6732688802329353
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2041,0.6729893871734514
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2042,0.6727098941139674
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2043,0.6724304010544835
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2044,0.6721509079949995
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2045,0.6718714149355155
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2046,0.669583110716949
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2047,0.6672948064983825
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2048,0.6650065022798158
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2049,0.6627181980612492
BAU_off-road_TTW_co2,off-road,TTW,co2,Gt,2050,0.6604298938426826
Striving_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2020,0.045590000000000006
Striving_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2021,0.045537999999999995
Striving_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2022,0.045486
Striving_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2023,0.045433999999999995
Striving_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2024,0.045382000000000006
Striving_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2025,0.04533
Striving_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2026,0.04360144
Striving_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2027,0.04188216
Striving_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2028,0.04017216
Striving_off-road_TTW_ch4,off-road,TTW,ch4,Mt,2029,0.03847144
