Scenario,Sector,Year,Source,Species,ems,Units
BAU,Aviation,2023,WTW,co2,1.005358454,Gt
BAU,Aviation,2024,WTW,co2,1.088815881,Gt
BAU,Aviation,2025,WTW,co2,1.1628456880000002,Gt
BAU,Aviation,2026,WTW,co2,1.1878903909999998,Gt
BAU,Aviation,2027,WTW,co2,1.215064091,Gt
BAU,Aviation,2028,WTW,co2,1.243515519,Gt
BAU,Aviation,2029,WTW,co2,1.2729005820000001,Gt
BAU,Aviation,2030,WTW,co2,1.303190431,Gt
BAU,Aviation,2031,WTW,co2,1.3343639680000001,Gt
BAU,Aviation,2032,WTW,co2,1.366416532,Gt
BAU,Aviation,2033,WTW,co2,1.3993893350000002,Gt
BAU,Aviation,2034,WTW,co2,1.433363839,Gt
BAU,Aviation,2035,WTW,co2,1.468465371,Gt
BAU,Aviation,2036,WTW,co2,1.504853901,Gt
BAU,Aviation,2037,WTW,co2,1.5427091419999999,Gt
BAU,Aviation,2038,WTW,co2,1.582193838,Gt
BAU,Aviation,2039,WTW,co2,1.623446319,Gt
BAU,Aviation,2040,WTW,co2,1.666529444,Gt
BAU,Aviation,2041,WTW,co2,1.71143939,Gt
BAU,Aviation,2042,WTW,co2,1.758084128,Gt
BAU,Aviation,2043,WTW,co2,1.806336256,Gt
BAU,Aviation,2044,WTW,co2,1.856065081,Gt
BAU,Aviation,2045,WTW,co2,1.907166559,Gt
BAU,Aviation,2046,WTW,co2,1.959623244,Gt
BAU,Aviation,2047,WTW,co2,2.013508568,Gt
BAU,Aviation,2048,WTW,co2,2.068990667,Gt
BAU,Aviation,2049,WTW,co2,2.12627635,Gt
BAU,Aviation,2050,WTW,co2,2.1855702790000002,Gt
Continuation,Aviation,2023,WTW,co2,1.005358454,Gt
Continuation,Aviation,2024,WTW,co2,1.070718456,Gt
Continuation,Aviation,2025,WTW,co2,1.134230169,Gt
Continuation,Aviation,2026,WTW,co2,1.151571696,Gt
Continuation,Aviation,2027,WTW,co2,1.170897412,Gt
Continuation,Aviation,2028,WTW,co2,1.191185035,Gt
Continuation,Aviation,2029,WTW,co2,1.21202333,Gt
Continuation,Aviation,2030,WTW,co2,1.233472486,Gt
Continuation,Aviation,2031,WTW,co2,1.25340295,Gt
