Scenario,Sector,Source,Species,Units,Year,ems
BAU,off-road,TTW,bc,Mt,2020,0.2596506241227178
BAU,off-road,TTW,bc,Mt,2021,0.25383821266135886
BAU,off-road,TTW,bc,Mt,2022,0.2480258012
BAU,off-road,TTW,bc,Mt,2023,0.24221338973864112
BAU,off-road,TTW,bc,Mt,2024,0.23640097827728224
BAU,off-road,TTW,bc,Mt,2025,0.23058856681592338
BAU,off-road,TTW,bc,Mt,2026,0.2267503500927866
BAU,off-road,TTW,bc,Mt,2027,0.22291213336964982
BAU,off-road,TTW,bc,Mt,2028,0.21907391664651304
BAU,off-road,TTW,bc,Mt,2029,0.21523569992337624
BAU,off-road,TTW,bc,Mt,2030,0.21139748320023946
BAU,off-road,TTW,bc,Mt,2031,0.2116006720514816
BAU,off-road,TTW,bc,Mt,2032,0.21180386090272374
BAU,off-road,TTW,bc,Mt,2033,0.21200704975396586
BAU,off-road,TTW,bc,Mt,2034,0.21221023860520802
BAU,off-road,TTW,bc,Mt,2035,0.21241342745645017
BAU,off-road,TTW,bc,Mt,2036,0.21306202188207124
BAU,off-road,TTW,bc,Mt,2037,0.2137106163076923
BAU,off-road,TTW,bc,Mt,2038,0.21435921073331338
BAU,off-road,TTW,bc,Mt,2039,0.21500780515893445
BAU,off-road,TTW,bc,Mt,2040,0.2156563995845555
BAU,off-road,TTW,bc,Mt,2041,0.21507769679736607
BAU,off-road,TTW,bc,Mt,2042,0.2144989940101766
BAU,off-road,TTW,bc,Mt,2043,0.2139202912229871
BAU,off-road,TTW,bc,Mt,2044,0.21334158843579767
BAU,off-road,TTW,bc,Mt,2045,0.2127628856486082
BAU,off-road,TTW,bc,Mt,2046,0.21186195592732715
BAU,off-road,TTW,bc,Mt,2047,0.21096102620604612
BAU,off-road,TTW,bc,Mt,2048,0.21006009648476504
BAU,off-road,TTW,bc,Mt,2049,0.209159166763484
BAU,off-road,TTW,bc,Mt,2050,0.20825823704220295
BAU,off-road,TTW,ch4,Mt,2020,0.045590000000000006
BAU,off-road,TTW,ch4,Mt,2021,0.045537999999999995
BAU,off-road,TTW,ch4,Mt,2022,0.045486
BAU,off-road,TTW,ch4,Mt,2023,0.045433999999999995
BAU,off-road,TTW,ch4,Mt,2024,0.045382000000000006
BAU,off-road,TTW,ch4,Mt,2025,0.04533
BAU,off-road,TTW,ch4,Mt,2026,0.045194000000000005
BAU,off-road,TTW,ch4,Mt,2027,0.045058
BAU,off-road,TTW,ch4,Mt,2028,0.044922
BAU,off-road,TTW,ch4,Mt,2029,0.044786
BAU,off-road,TTW,ch4,Mt,2030,0.04465
BAU,off-road,TTW,ch4,Mt,2031,0.04475
BAU,off-road,TTW,ch4,Mt,2032,0.04485
BAU,off-road,TTW,ch4,Mt,2033,0.044950000000000004
BAU,off-road,TTW,ch4,Mt,2034,0.04505
BAU,off-road,TTW,ch4,Mt,2035,0.04515
BAU,off-road,TTW,ch4,Mt,2036,0.045246
BAU,off-road,TTW,ch4,Mt,2037,0.045342
BAU,off-road,TTW,ch4,Mt,2038,0.045438000000000006
BAU,off-road,TTW,ch4,Mt,2039,0.045534
BAU,off-road,TTW,ch4,Mt,2040,0.04563
BAU,off-road,TTW,ch4,Mt,2041,0.045528000000000006
BAU,off-road,TTW,ch4,Mt,2042,0.045426
BAU,off-road,TTW,ch4,Mt,2043,0.045323999999999996
BAU,off-road,TTW,ch4,Mt,2044,0.045222
BAU,off-road,TTW,ch4,Mt,2045,0.04512000000000001
BAU,off-road,TTW,ch4,Mt,2046,0.044906
BAU,off-road,TTW,ch4,Mt,2047,0.044692
BAU,off-road,TTW,ch4,Mt,2048,0.044478
BAU,off-road,TTW,ch4,Mt,2049,0.044264
BAU,off-road,TTW,ch4,Mt,2050,0.04405
BAU,off-road,TTW,co2,Gt,2020,0.6482380461055365
BAU,off-road,TTW,co2,Gt,2021,0.6497518942163478
BAU,off-road,TTW,co2,Gt,2022,0.6512657423271592
BAU,off-road,TTW,co2,Gt,2023,0.6527795904379705
BAU,off-road,TTW,co2,Gt,2024,0.6542934385487817
BAU,off-road,TTW,co2,Gt,2025,0.6558072866595931
BAU,off-road,TTW,co2,Gt,2026,0.6541809288767021
BAU,off-road,TTW,co2,Gt,2027,0.6525545710938111
BAU,off-road,TTW,co2,Gt,2028,0.65092821331092
BAU,off-road,TTW,co2,Gt,2029,0.6493018555280289
BAU,off-road,TTW,co2,Gt,2030,0.647675497745138
