Sub-Sector,Species,Year,Reduction
TRA_OT_CNS,co2,1990,0
TRA_OT_AGR,co2,1990,0
TRA_OT_RAI,co2,1990,0
TRA_OT_OTHER,co2,1990,0
TRA_OT_CNS,bc,1990,0
TRA_OT_AGR,bc,1990,0
TRA_OT_RAI,bc,1990,0
TRA_OT_OTHER,bc,1990,0
TRA_OT_CNS,co2,2025,0
TRA_OT_AGR,co2,2025,0
TRA_OT_OTHER,co2,2025,0
TRA_OT_RAI,co2,2025,0
TRA_OT_CNS,bc,2025,0
TRA_OT_AGR,bc,2025,0
TRA_OT_RAI,bc,2025,0
TRA_OT_OTHER,bc,2025,0
TRA_OT_CNS,co2,2035,0.4
TRA_OT_AGR,co2,2035,0.4
TRA_OT_RAI,co2,2035,0.4
TRA_OT_OTHER,co2,2035,0.2
TRA_OT_CNS,co2,2050,1
TRA_OT_AGR,co2,2050,1
TRA_OT_RAI,co2,2050,1
TRA_OT_OTHER,co2,2050,0.5
TRA_OT_CNS,bc,2035,0.6
TRA_OT_AGR,bc,2035,0.6
TRA_OT_RAI,bc,2035,0.6
TRA_OT_OTHER,bc,2035,0.2
TRA_OT_CNS,bc,2050,1
TRA_OT_AGR,bc,2050,1
TRA_OT_RAI,bc,2050,1
TRA_OT_OTHER,bc,2050,0.5
TRA_OT_CNS,ch4,1990,0
TRA_OT_AGR,ch4,1990,0
TRA_OT_RAI,ch4,1990,0
TRA_OT_OTHER,ch4,1990,0
TRA_OT_CNS,ch4,2025,0
TRA_OT_AGR,ch4,2025,0
TRA_OT_OTHER,ch4,2025,0
TRA_OT_RAI,ch4,2025,0
TRA_OT_CNS,ch4,2035,0.4
TRA_OT_AGR,ch4,2035,0.4
TRA_OT_RAI,ch4,2035,0.4
TRA_OT_OTHER,ch4,2035,0.2
TRA_OT_CNS,ch4,2050,1
TRA_OT_AGR,ch4,2050,1
TRA_OT_RAI,ch4,2050,1
TRA_OT_OTHER,ch4,2050,0.5
