Scenario,Sector,Sub-Sector,Species,Units,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
BAU,off-road,TRA_OT_CNS,co2,Mt,122,100.99,110.09,116,119.42,135.7,259.09,264.83,258.71,273.47,287.07,284.86,279.65
BAU,off-road,TRA_OT_AGR,co2,Mt,218.22,227.75,201.59,227.26,227.06,222.61,244.1,245.81,241.81,236.74,232.24,229.91,221.23
BAU,off-road,TRA_OT_RAI,co2,Mt,92.03,74.01,82.09,98.26,82.94,90.4,82.05,77.59,73.8,70.4,66.31,61.24,55.17
BAU,off-road,TRA_OT_SHIP_NAT,co2,Mt,74.87,61.53,129.96,140.41,146.93,180.01,169.28,185.68,199.43,210.09,216.53,218.22,213.11
BAU,off-road,TRA_OT_OTHER,co2,Mt,311.24,284.69,309.03,327.79,332.55,378.04,380.94,408.63,443.57,483.8,530,579.66,631.17
BAU,off-road,TRA_OT_CNS,bc,kt,98.19,82.21,88.79,86.46,84.62,82.66,115.69,103.7,93.89,99.9,105.81,105.41,104.79
BAU,off-road,TRA_OT_AGR,bc,kt,148.32,156.19,140.44,148.52,140.75,124.82,104.56,93.27,86.95,84.02,81.85,80.22,77.93
BAU,off-road,TRA_OT_RAI,bc,kt,54.66,44.03,48.81,56.54,46.19,44.49,35.66,30.29,27.55,25.7,25.31,24.5,22.9
BAU,off-road,TRA_OT_SHIP_NAT,bc,kt,27.88,23.29,67.73,72.71,76.66,94.26,85.66,93.98,100.64,106.99,110.91,112.66,110.31
BAU,off-road,TRA_OT_OTHER,bc,kt,16.97,7.55,5.93,8.47,8.88,8.91,6.99,6.22,5.62,5.22,5.02,4.92,4.93
BAU,off-road,TRA_OT_CNS,ch4,kt,6.91,5.7,6.24,6.57,6.86,7.88,15.11,15.5,15.34,16.27,17.22,17.14,16.88
BAU,off-road,TRA_OT_AGR,ch4,kt,12.32,12.84,11.38,12.88,13.13,13.03,14.3,14.48,14.33,14.08,13.83,13.76,13.3
BAU,off-road,TRA_OT_RAI,ch4,kt,5.21,4.2,4.63,5.58,4.76,5.22,4.74,4.55,4.38,4.2,3.94,3.66,3.31
BAU,off-road,TRA_OT_SHIP_NAT,ch4,kt,7.07,5.81,12.19,13.15,14.02,17.22,16.34,17.94,19.33,20.33,20.97,21.11,20.62
BAU,off-road,TRA_OT_OTHER,ch4,kt,12.18,8.97,7.57,7.87,8.66,9.37,11.44,10.8,10.6,10.6,10.64,10.56,10.56
