Scenario,Sector,Species,Units,Year,ems,Source
BAU,Construction,co2,Mt,1990,122.0,TTW
BAU,Construction,bc,kt,1990,98.19,TTW
BAU,Construction,ch4,kt,1990,6.91,TTW
BAU,Construction,co2,Mt,1991,117.798,TTW
BAU,Construction,bc,kt,1991,94.994,TTW
BAU,Construction,ch4,kt,1991,6.668,TTW
BAU,Construction,co2,Mt,1992,113.596,TTW
BAU,Construction,bc,kt,1992,91.798,TTW
BAU,Construction,ch4,kt,1992,6.426,TTW
BAU,Construction,co2,Mt,1993,109.394,TTW
BAU,Construction,bc,kt,1993,88.602,TTW
BAU,Construction,ch4,kt,1993,6.184,TTW
BAU,Construction,co2,Mt,1994,105.192,TTW
BAU,Construction,bc,kt,1994,85.40599999999999,TTW
BAU,Construction,ch4,kt,1994,5.942,TTW
BAU,Construction,co2,Mt,1995,100.99,TTW
BAU,Construction,bc,kt,1995,82.21,TTW
BAU,Construction,ch4,kt,1995,5.7,TTW
BAU,Construction,co2,Mt,1996,102.81,TTW
BAU,Construction,bc,kt,1996,83.526,TTW
BAU,Construction,ch4,kt,1996,5.808,TTW
BAU,Construction,co2,Mt,1997,104.63,TTW
BAU,Construction,bc,kt,1997,84.842,TTW
BAU,Construction,ch4,kt,1997,5.916,TTW
BAU,Construction,co2,Mt,1998,106.45,TTW
BAU,Construction,bc,kt,1998,86.158,TTW
BAU,Construction,ch4,kt,1998,6.024,TTW
BAU,Construction,co2,Mt,1999,108.27,TTW
BAU,Construction,bc,kt,1999,87.474,TTW
BAU,Construction,ch4,kt,1999,6.132000000000001,TTW
BAU,Construction,co2,Mt,2000,110.09,TTW
BAU,Construction,bc,kt,2000,88.79,TTW
BAU,Construction,ch4,kt,2000,6.24,TTW
BAU,Construction,co2,Mt,2001,111.272,TTW
BAU,Construction,bc,kt,2001,88.324,TTW
BAU,Construction,ch4,kt,2001,6.306,TTW
BAU,Construction,co2,Mt,2002,112.45400000000001,TTW
BAU,Construction,bc,kt,2002,87.858,TTW
BAU,Construction,ch4,kt,2002,6.372,TTW
BAU,Construction,co2,Mt,2003,113.636,TTW
BAU,Construction,bc,kt,2003,87.392,TTW
BAU,Construction,ch4,kt,2003,6.438000000000001,TTW
BAU,Construction,co2,Mt,2004,114.818,TTW
BAU,Construction,bc,kt,2004,86.926,TTW
BAU,Construction,ch4,kt,2004,6.5040000000000004,TTW
BAU,Construction,co2,Mt,2005,116.0,TTW
BAU,Construction,bc,kt,2005,86.46,TTW
BAU,Construction,ch4,kt,2005,6.57,TTW
BAU,Construction,co2,Mt,2006,116.684,TTW
BAU,Construction,bc,kt,2006,86.092,TTW
BAU,Construction,ch4,kt,2006,6.628,TTW
BAU,Construction,co2,Mt,2007,117.368,TTW
BAU,Construction,bc,kt,2007,85.724,TTW
BAU,Construction,ch4,kt,2007,6.686,TTW
BAU,Construction,co2,Mt,2008,118.052,TTW
BAU,Construction,bc,kt,2008,85.356,TTW
BAU,Construction,ch4,kt,2008,6.744000000000001,TTW
BAU,Construction,co2,Mt,2009,118.736,TTW
BAU,Construction,bc,kt,2009,84.988,TTW
BAU,Construction,ch4,kt,2009,6.8020000000000005,TTW
BAU,Construction,co2,Mt,2010,119.42,TTW
BAU,Construction,bc,kt,2010,84.62,TTW
BAU,Construction,ch4,kt,2010,6.86,TTW
BAU,Construction,co2,Mt,2011,122.676,TTW
BAU,Construction,bc,kt,2011,84.22800000000001,TTW
BAU,Construction,ch4,kt,2011,7.064,TTW
BAU,Construction,co2,Mt,2012,125.932,TTW
BAU,Construction,bc,kt,2012,83.836,TTW
BAU,Construction,ch4,kt,2012,7.268,TTW
BAU,Construction,co2,Mt,2013,129.188,TTW
BAU,Construction,bc,kt,2013,83.444,TTW
BAU,Construction,ch4,kt,2013,7.4719999999999995,TTW
BAU,Construction,co2,Mt,2014,132.444,TTW
BAU,Construction,bc,kt,2014,83.05199999999999,TTW
BAU,Construction,ch4,kt,2014,7.676,TTW
BAU,Construction,co2,Mt,2015,135.7,TTW
BAU,Construction,bc,kt,2015,82.66,TTW
BAU,Construction,ch4,kt,2015,7.88,TTW
BAU,Construction,co2,Mt,2016,160.378,TTW
BAU,Construction,bc,kt,2016,89.26599999999999,TTW
BAU,Construction,ch4,kt,2016,9.326,TTW
BAU,Construction,co2,Mt,2017,185.05599999999998,TTW
BAU,Construction,bc,kt,2017,95.872,TTW
BAU,Construction,ch4,kt,2017,10.772,TTW
BAU,Construction,co2,Mt,2018,209.73399999999998,TTW
BAU,Construction,bc,kt,2018,102.478,TTW
BAU,Construction,ch4,kt,2018,12.218,TTW
BAU,Construction,co2,Mt,2019,234.41199999999998,TTW
BAU,Construction,bc,kt,2019,109.084,TTW
BAU,Construction,ch4,kt,2019,13.664,TTW
BAU,Construction,co2,Mt,2020,259.09,TTW
BAU,Construction,bc,kt,2020,115.69,TTW
BAU,Construction,ch4,kt,2020,15.11,TTW
BAU,Construction,co2,Mt,2021,260.238,TTW
BAU,Construction,bc,kt,2021,113.292,TTW
BAU,Construction,ch4,kt,2021,15.187999999999999,TTW
BAU,Construction,co2,Mt,2022,261.38599999999997,TTW
BAU,Construction,bc,kt,2022,110.894,TTW
BAU,Construction,ch4,kt,2022,15.266,TTW
BAU,Construction,co2,Mt,2023,262.534,TTW
BAU,Construction,bc,kt,2023,108.496,TTW
BAU,Construction,ch4,kt,2023,15.344,TTW
BAU,Construction,co2,Mt,2024,263.68199999999996,TTW
BAU,Construction,bc,kt,2024,106.098,TTW
BAU,Construction,ch4,kt,2024,15.422,TTW
BAU,Construction,co2,Mt,2025,264.83,TTW
BAU,Construction,bc,kt,2025,103.7,TTW
BAU,Construction,ch4,kt,2025,15.5,TTW
BAU,Construction,co2,Mt,2026,263.606,TTW
BAU,Construction,bc,kt,2026,101.738,TTW
BAU,Construction,ch4,kt,2026,15.468,TTW
BAU,Construction,co2,Mt,2027,262.382,TTW
BAU,Construction,bc,kt,2027,99.776,TTW
BAU,Construction,ch4,kt,2027,15.436,TTW
BAU,Construction,co2,Mt,2028,261.15799999999996,TTW
BAU,Construction,bc,kt,2028,97.81400000000001,TTW
BAU,Construction,ch4,kt,2028,15.404,TTW
