Scenario,Sector,Sub-Sector,Species,Units,Year,ems,Source
BAU,off-road,TRA_OT_CNS,co2,Mt,1990,122.0,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,1990,218.22,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,1990,92.03,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,1990,51.471391478676935,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,1990,98.19,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,1990,148.32,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,1990,54.66,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,1990,9.081314930260401,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,1990,6.91,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,1990,12.32,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,1990,5.21,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,1990,12.18,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,1991,117.798,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,1991,220.126,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,1991,88.426,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,1991,50.59324892389036,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,1991,94.994,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,1991,149.894,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,1991,52.534,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,1991,8.07311237701287,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,1991,6.668,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,1991,12.424,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,1991,5.008,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,1991,11.538,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,1992,113.596,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,1992,222.032,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,1992,84.822,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,1992,49.71510636910378,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,1992,91.798,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,1992,151.468,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,1992,50.408,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,1992,7.0649098237653405,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,1992,6.426,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,1992,12.528,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,1992,4.806,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,1992,10.896,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,1993,109.394,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,1993,223.938,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,1993,81.218,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,1993,48.8369638143172,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,1993,88.602,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,1993,153.042,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,1993,48.282,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,1993,6.056707270517809,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,1993,6.184,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,1993,12.632,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,1993,4.604,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,1993,10.254000000000001,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,1994,105.192,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,1994,225.844,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,1994,77.614,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,1994,47.95882125953062,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,1994,85.40599999999999,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,1994,154.61599999999999,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,1994,46.156,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,1994,5.048504717270279,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,1994,5.942,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,1994,12.736,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,1994,4.402,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,1994,9.612,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,1995,100.99,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,1995,227.75,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,1995,74.01,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,1995,47.080678704744045,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,1995,82.21,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,1995,156.19,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,1995,44.03,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,1995,4.040302164022749,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,1995,5.7,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,1995,12.84,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,1995,4.2,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,1995,8.97,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,1996,102.81,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,1996,222.518,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,1996,75.626,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,1996,47.88572540092127,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,1996,83.526,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,1996,153.04,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,1996,44.986000000000004,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,1996,3.8669170115534275,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,1996,5.808,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,1996,12.548,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,1996,4.2860000000000005,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,1996,8.690000000000001,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,1997,104.63,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,1997,217.286,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,1997,77.242,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,1997,48.69077209709849,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,1997,84.842,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,1997,149.89,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,1997,45.942,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,1997,3.693531859084107,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,1997,5.916,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,1997,12.256,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,1997,4.372,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,1997,8.41,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,1998,106.45,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,1998,212.054,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,1998,78.858,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,1998,49.49581879327571,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,1998,86.158,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,1998,146.74,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,1998,46.898,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,1998,3.5201467066147862,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,1998,6.024,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,1998,11.964,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,1998,4.458,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,1998,8.13,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,1999,108.27,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,1999,206.822,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,1999,80.474,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,1999,50.30086548945294,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,1999,87.474,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,1999,143.59,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,1999,47.854,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,1999,3.3467615541454654,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,1999,6.132000000000001,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,1999,11.672,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,1999,4.544,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,1999,7.8500000000000005,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2000,110.09,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2000,201.59,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2000,82.09,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2000,51.10591218563016,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2000,88.79,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2000,140.44,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2000,48.81,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,2000,3.173376401676145,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,2000,6.24,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,2000,11.38,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,2000,4.63,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,2000,7.57,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2001,111.272,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2001,206.724,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2001,85.324,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2001,51.72640010758106,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2001,88.324,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2001,142.056,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2001,50.356,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,2001,3.4452271962885366,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,2001,6.306,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,2001,11.680000000000001,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,2001,4.82,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,2001,7.63,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2002,112.45400000000001,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2002,211.858,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2002,88.558,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2002,52.34688802953195,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2002,87.858,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2002,143.672,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2002,51.902,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,2002,3.717077990900928,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,2002,6.372,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,2002,11.98,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,2002,5.01,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,2002,7.69,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2003,113.636,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2003,216.992,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2003,91.792,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2003,52.96737595148284,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2003,87.392,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2003,145.288,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2003,53.448,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,2003,3.98892878551332,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,2003,6.438000000000001,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,2003,12.280000000000001,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,2003,5.2,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,2003,7.75,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2004,114.818,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2004,222.126,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2004,95.02600000000001,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2004,53.58786387343374,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2004,86.926,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2004,146.904,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2004,54.994,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,2004,4.260779580125711,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,2004,6.5040000000000004,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,2004,12.58,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,2004,5.39,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,2004,7.8100000000000005,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2005,116.0,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2005,227.26,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2005,98.26,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2005,54.20835179538463,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2005,86.46,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2005,148.52,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2005,56.54,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,2005,4.532630374738103,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,2005,6.57,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,2005,12.88,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,2005,5.58,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,2005,7.87,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2006,116.684,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2006,227.22,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2006,95.196,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2006,54.36578902931247,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2006,86.092,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2006,146.966,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2006,54.47,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,2006,4.576511802214907,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,2006,6.628,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,2006,12.930000000000001,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,2006,5.416,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,2006,8.028,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2007,117.368,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2007,227.18,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2007,92.132,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2007,54.52322626324031,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2007,85.724,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2007,145.412,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2007,52.4,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,2007,4.62039322969171,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,2007,6.686,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,2007,12.98,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,2007,5.252,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,2007,8.186,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2008,118.052,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2008,227.14,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2008,89.068,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2008,54.68066349716815,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2008,85.356,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2008,143.858,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2008,50.33,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,2008,4.664274657168513,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,2008,6.744000000000001,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,2008,13.030000000000001,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,2008,5.088,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,2008,8.344,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2009,118.736,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2009,227.1,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2009,86.004,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2009,54.838100731095984,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2009,84.988,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2009,142.304,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2009,48.26,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,2009,4.708156084645316,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,2009,6.8020000000000005,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,2009,13.08,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,2009,4.9239999999999995,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,2009,8.502,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2010,119.42,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2010,227.06,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2010,82.94,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2010,54.99553796502382,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2010,84.62,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2010,140.75,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2010,46.19,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,2010,4.75203751212212,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,2010,6.86,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,2010,13.13,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,2010,4.76,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,2010,8.66,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2011,122.676,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2011,226.17000000000002,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2011,84.432,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2011,56.50012195060731,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2011,84.22800000000001,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2011,137.564,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2011,45.85,TTW
