Scenario,CY,TTW CO2,WTT CO2,BC
All Measures,2020,6418.483474790576,2689.9912476022996,604.177551519632
All Measures,2021,6438.337892785492,2727.766891354631,581.4527882753762
All Measures,2022,6411.019616397568,2730.6092967260806,555.3168750269884
All Measures,2023,6410.530396026178,2749.855855257581,527.8217428347394
All Measures,2024,6409.019952239641,2771.171458981297,501.2407359372385
All Measures,2025,6384.058583198753,2797.3847947997283,475.1377192374959
All Measures,2026,6287.224418615199,2815.203530557296,421.6037978250789
All Measures,2027,6159.100450605415,2836.2351668606702,370.6760691949784
All Measures,2028,5986.353427234395,2858.067349747762,327.73465099723313
All Measures,2029,5753.011329866892,2878.509254149373,289.7095762269492
All Measures,2030,5430.792340505979,2895.9562742486883,220.27080273957245
All Measures,2031,5160.227592456174,2923.71753066206,193.87325331171883
All Measures,2032,4879.970899813351,2952.3328402191214,168.68027509974735
All Measures,2033,4586.517632208873,2976.6572659433423,146.06468075001942
All Measures,2034,4279.9306540792595,2995.67781688197,127.02868369058828
All Measures,2035,3957.723014414993,3009.8097797060987,104.01810017095912
All Measures,2036,3640.7488477863185,3028.9986432710866,82.3745707916317
All Measures,2037,3334.334984216554,3043.6284628016488,63.979899391443055
All Measures,2038,3027.742031046793,3052.363160594892,47.22728971007703
All Measures,2039,2722.782377099003,3053.5871633153524,37.673296469049
All Measures,2040,2415.6487185375486,3047.5648745417843,29.85904254243991
All Measures,2041,2139.0939796193493,3050.211043328698,22.824467863182292
All Measures,2042,1878.6358951465575,3048.4882184646235,16.821550743580428
All Measures,2043,1635.8119438642757,3041.814073084214,11.711058415036854
All Measures,2044,1410.5197234863288,3030.40758876667,7.421284092142644
All Measures,2045,1202.7424022403563,3014.548502063462,4.611599308052103
All Measures,2046,1023.2617869995133,3007.6853567139665,2.3903628253797757
All Measures,2047,867.518852470329,2999.290862912432,1.7937689186377321
All Measures,2048,731.8860336904885,2989.4960144453394,1.3439992377616943
All Measures,2049,617.3547011941992,2978.3598746165308,0.9791052654514868
All Measures,2050,522.3078500879574,2966.043971696343,0.6955795563047812
Baseline,2020,6418.181149038608,2689.868941242887,604.185919039177
Baseline,2021,6438.054765667955,2727.5820028201083,581.4849478802297
Baseline,2022,6412.764938555124,2729.5461057000994,555.3765464920941
Baseline,2023,6418.8626605506815,2747.2828025590957,527.9279593006459
Baseline,2024,6434.28590941071,2765.1942445652408,501.5978853192788
Baseline,2025,6449.231619069951,2785.113932757316,476.9806879911313
Baseline,2026,6449.542997343009,2802.210621022983,453.98121732671797
Baseline,2027,6449.07748333322,2821.592129897433,433.0393678818235
Baseline,2028,6444.773033251506,2842.140892660349,416.93404371903756
Baseline,2029,6437.27812678856,2863.14316419161,404.3316684498385
Baseline,2030,6424.185586131213,2884.1401270924753,394.50685683199623
Baseline,2031,6390.775518010234,2908.0039537984558,386.66862988287266
Baseline,2032,6364.977609957022,2935.0067207869033,382.23141038863054
Baseline,2033,6341.271263249042,2962.840181179343,380.5140463664992
Baseline,2034,6322.134516545655,2991.4615573666238,380.6760074473698
Baseline,2035,6305.168399968076,3020.2523658456403,382.42792386060603
Baseline,2036,6298.037328818009,3056.0060992564236,385.83045800029515
Baseline,2037,6303.253624685555,3094.260492793266,391.1600039262265
Baseline,2038,6318.203143886019,3133.773778168512,397.79363344983744
Baseline,2039,6342.301256082939,3174.3408072792786,405.3810891599691
Baseline,2040,6375.469236526899,3215.909186963382,414.1031393184002
Baseline,2041,6411.515722643392,3260.7058753359083,423.61722620018674
Baseline,2042,6452.541365417935,3306.279101745214,433.7541708330792
Baseline,2043,6496.886615453395,3351.9473063480805,444.30073206818986
Baseline,2044,6543.39855031613,3397.345386112059,455.215742105015
Baseline,2045,6591.491862643979,3442.278647177078,466.37102100558786
Baseline,2046,6638.807359553325,3488.880781242269,477.5558138824233
Baseline,2047,6684.95009251235,3534.0757035992992,488.68918735866936
Baseline,2048,6729.3744806224095,3577.585002954312,499.68727548786643
Baseline,2049,6771.330830887517,3619.1271122058024,510.44630455906645
Baseline,2050,6809.661688063441,3658.390851333773,520.8809631500601
